id,station,date,prcp,tobs
11906,USC00519523,2016-10-18,0.02,80.0
2420,USC00519397,2016-10-18,0.0,80.0
5147,USC00513117,2016-10-18,0.05,77.0
14664,USC00519281,2016-10-18,0.02,78.0
8857,USC00517948,2016-10-18,,80.0
7377,USC00514830,2016-10-18,0.03,80.0
19257,USC00516128,2016-10-18,0.48,74.0
8858,USC00517948,2016-10-19,,80.0
11907,USC00519523,2016-10-19,0.0,78.0
14665,USC00519281,2016-10-19,0.11,78.0
19258,USC00516128,2016-10-19,0.0,70.0
2421,USC00519397,2016-10-19,0.0,81.0
7378,USC00514830,2016-10-19,0.0,79.0
5148,USC00513117,2016-10-19,0.06,77.0
2422,USC00519397,2016-10-20,0.0,79.0
7379,USC00514830,2016-10-20,0.01,77.0
14666,USC00519281,2016-10-20,0.0,78.0
8859,USC00517948,2016-10-20,,78.0
19259,USC00516128,2016-10-20,1.0,73.0
5149,USC00513117,2016-10-20,0.0,76.0
8860,USC00517948,2016-10-21,,76.0
5150,USC00513117,2016-10-21,0.15,76.0
19260,USC00516128,2016-10-21,0.09,74.0
11908,USC00519523,2016-10-21,,79.0
7380,USC00514830,2016-10-21,0.03,78.0
2423,USC00519397,2016-10-21,0.05,77.0
14667,USC00519281,2016-10-21,0.0,78.0
19261,USC00516128,2016-10-22,1.37,75.0
14668,USC00519281,2016-10-22,0.15,77.0
2424,USC00519397,2016-10-22,0.15,79.0
5151,USC00513117,2016-10-22,0.1,77.0
11909,USC00519523,2016-10-22,0.0,80.0
14669,USC00519281,2016-10-23,0.02,74.0
11910,USC00519523,2016-10-23,0.0,81.0
5152,USC00513117,2016-10-23,0.01,76.0
2425,USC00519397,2016-10-23,0.01,78.0
7381,USC00514830,2016-10-23,,80.0
19262,USC00516128,2016-10-23,0.24,72.0
7382,USC00514830,2016-10-24,0.01,77.0
5153,USC00513117,2016-10-24,0.0,76.0
14670,USC00519281,2016-10-24,0.08,75.0
19263,USC00516128,2016-10-24,0.7,71.0
11911,USC00519523,2016-10-24,0.0,75.0
2426,USC00519397,2016-10-24,0.0,77.0
8861,USC00517948,2016-10-24,,76.0
19264,USC00516128,2016-10-25,0.4,74.0
5154,USC00513117,2016-10-25,0.04,77.0
7383,USC00514830,2016-10-25,0.0,81.0
14671,USC00519281,2016-10-25,0.11,76.0
2427,USC00519397,2016-10-25,0.03,77.0
8862,USC00517948,2016-10-25,0.4,77.0
11912,USC00519523,2016-10-25,0.12,77.0
19265,USC00516128,2016-10-26,0.0,75.0
5155,USC00513117,2016-10-26,0.06,74.0
14672,USC00519281,2016-10-26,0.01,73.0
2428,USC00519397,2016-10-26,0.0,78.0
8863,USC00517948,2016-10-26,0.2,73.0
11913,USC00519523,2016-10-26,0.02,78.0
8864,USC00517948,2016-10-27,,77.0
2429,USC00519397,2016-10-27,0.0,77.0
5156,USC00513117,2016-10-27,0.11,75.0
11914,USC00519523,2016-10-27,0.08,78.0
19266,USC00516128,2016-10-27,1.25,71.0
14673,USC00519281,2016-10-27,0.22,76.0
7384,USC00514830,2016-10-27,0.2,78.0
14674,USC00519281,2016-10-28,0.05,74.0
7385,USC00514830,2016-10-28,0.07,78.0
11915,USC00519523,2016-10-28,0.06,78.0
8865,USC00517948,2016-10-28,,76.0
2430,USC00519397,2016-10-28,0.0,78.0
5157,USC00513117,2016-10-28,0.02,77.0
19267,USC00516128,2016-10-28,0.37,68.0
5158,USC00513117,2016-10-29,0.02,77.0
7386,USC00514830,2016-10-29,0.26,76.0
19268,USC00516128,2016-10-29,0.25,71.0
2431,USC00519397,2016-10-29,0.0,77.0
11916,USC00519523,2016-10-29,0.01,78.0
14675,USC00519281,2016-10-29,0.1,77.0
5159,USC00513117,2016-10-30,0.1,78.0
7387,USC00514830,2016-10-30,0.14,78.0
2432,USC00519397,2016-10-30,0.24,76.0
19269,USC00516128,2016-10-30,0.95,76.0
14676,USC00519281,2016-10-30,0.16,76.0
11917,USC00519523,2016-10-30,0.0,79.0
7388,USC00514830,2016-10-31,0.0,77.0
11918,USC00519523,2016-10-31,0.13,78.0
19270,USC00516128,2016-10-31,1.35,69.0
8866,USC00517948,2016-10-31,,75.0
14677,USC00519281,2016-10-31,0.07,76.0
2433,USC00519397,2016-10-31,0.03,77.0
5160,USC00513117,2016-10-31,0.03,76.0
11919,USC00519523,2016-11-01,0.01,79.0
14678,USC00519281,2016-11-01,0.1,74.0
2434,USC00519397,2016-11-01,0.0,77.0
5161,USC00513117,2016-11-01,0.01,77.0
7389,USC00514830,2016-11-01,0.0,77.0
19271,USC00516128,2016-11-01,0.09,73.0
19272,USC00516128,2016-11-02,0.04,76.0
7390,USC00514830,2016-11-02,0.0,78.0
14679,USC00519281,2016-11-02,0.0,75.0
2435,USC00519397,2016-11-02,0.0,77.0
5162,USC00513117,2016-11-02,0.0,76.0
11920,USC00519523,2016-11-02,0.0,76.0
5163,USC00513117,2016-11-03,0.0,74.0
14680,USC00519281,2016-11-03,0.0,75.0
2436,USC00519397,2016-11-03,0.0,77.0
11921,USC00519523,2016-11-03,0.0,77.0
7391,USC00514830,2016-11-03,0.0,77.0
19273,USC00516128,2016-11-03,0.02,74.0
5164,USC00513117,2016-11-04,0.0,76.0
14681,USC00519281,2016-11-04,0.0,75.0
7392,USC00514830,2016-11-04,0.0,77.0
11922,USC00519523,2016-11-04,0.0,76.0
19274,USC00516128,2016-11-04,0.06,74.0
8867,USC00517948,2016-11-04,,77.0
2437,USC00519397,2016-11-04,0.0,77.0
7393,USC00514830,2016-11-05,0.0,77.0
5165,USC00513117,2016-11-05,0.02,72.0
14682,USC00519281,2016-11-05,0.03,75.0
19275,USC00516128,2016-11-05,0.38,69.0
11923,USC00519523,2016-11-05,0.02,78.0
2438,USC00519397,2016-11-05,0.0,76.0
7394,USC00514830,2016-11-06,0.0,78.0
2439,USC00519397,2016-11-06,0.0,75.0
19276,USC00516128,2016-11-06,0.05,77.0
5166,USC00513117,2016-11-06,0.02,76.0
14683,USC00519281,2016-11-06,0.01,71.0
11924,USC00519523,2016-11-06,0.0,78.0
7395,USC00514830,2016-11-07,0.13,72.0
11925,USC00519523,2016-11-07,0.0,76.0
8868,USC00517948,2016-11-07,,75.0
19277,USC00516128,2016-11-07,0.05,71.0
2440,USC00519397,2016-11-07,0.0,71.0
5167,USC00513117,2016-11-07,0.0,69.0
14684,USC00519281,2016-11-07,0.0,63.0
14685,USC00519281,2016-11-08,0.21,70.0
19278,USC00516128,2016-11-08,0.53,71.0
11926,USC00519523,2016-11-08,0.15,77.0
2441,USC00519397,2016-11-08,0.07,71.0
7396,USC00514830,2016-11-08,0.02,73.0
